category,name,description,price,option2,price2,soup_salad,image,alt
japanese fried rice,vegetable fried rice,,10,,,,,
japanese fried rice,Chicken fried rice,,12,,,,,
japanese fried rice,shrimp fried rice,,15,,,,,
japanese fried rice,combo fried rice,,15,,,,,
japanese fried rice,kobe beef fried rice,,16,,,,,
japanese fried rice,maine lobster fried rice,,20,,,,,
sushi entrees*,sushi Dinner/Size,8pcs chef's choice of sushi and 1 california roll,25,,,y,,
sushi entrees*,sashimi Dinner/Size,10pcs of raw fish with a side of steamed rice,27,,,y,,
sushi entrees* ,Sushi & Sashimi Combo,"6pcs of sushi, 9pcs of sashimi, 1 california roll",30,,,y,,
sushi entrees*,Celebrate Platter (4 soup or 4 salad),"14pcs of sushi, 14pcs of sashimi & 2 chef special rolls",98,,,y,,
sushi entrees*,Chirashi Bowl,assorted fish over the sushi rice,26,,,y,,
sushi entrees*,Salmon bowl,10 pcs salmon over the sushi rice,25,,,y,,
sushi entrees*,unagi bowl,8pcs bbq eel over the steamed rice or sushi rice,27,,,y,,
vegetarian sushi,sweet potato roll (8pcs),,6,,,,,
vegetarian sushi,cucumber roll (6pcs),,6,,,,,
vegetarian sushi,eggplant sushi (2pcs),,6,,,,,
vegetarian sushi,Avocado roll (6pcs),,6,,,,,
vegetarian sushi,asparagus roll (8pcs),,6,,,,,
vegetarian sushi,vegetable roll (5pcs),,6,,,,,
*nigiri or sashimi,salmon ,(shake),6,sashimi,6,,,
*nigiri or sashimi,Tuna,(maguro),8,sashimi,8,,,
*nigiri or sashimi,fresh water eel,(unagi),7,sashimi,7,,,
*nigiri or sashimi,king salmon,nigiri,8,sashimi,8,,,
*nigiri or sashimi,yellow tail,(hon hamachi),6.5,sashimi,6.5,,,
*nigiri or sashimi,albacore,(bincho),6,sashimi,6,,,
*nigiri or sashimi,seared tuna,(tataki),7,sashimi,7,,,
*nigiri or sashimi,smoked salmon,nigiri,6.5,sashimi,6.5,,,
*nigiri or sashimi,red snapper,(madai),7,sashimi,7,,,
*nigiri or sashimi,striped bass,(suzuki),6.5,sashimi,6.5,,,
*nigiri or sashimi,sweet shrimp,(amaebi),8.5,sashimi,8.5,,,
*nigiri or sashimi,abur scallop,(seared),7,sashimi,7,,,
*nigiri or sashimi,shrimp,(ebi),6,sashimi,6,,,
*nigiri or sashimi,non-spicy scallop,nigiri,7,sashimi,7,,,
*nigiri or sashimi,octopus,(tako),7,sashimi,7,,,
*nigiri or sashimi,mackerel,(saba),7,sashimi,7,,,
*nigiri or sashimi,squid,(ika),7,sashimi,7,,,
*nigiri or sashimi,spicy scallop,(chopped),7,sashimi,7,,,
*nigiri or sashimi,flying fish roe,"(tobiko) (red, green or black)",6,sashimi,6,,,
*nigiri or sashimi,smelt roe,(masago),6,sashimi,6,,,
*nigiri or sashimi,salmon egg,(ikura),6,sashimi,6,,,
*nigiri or sashimi,snow crab,nigiri,8,sashimi,8,,,
*nigiri or sashimi,imitation crab,(kani),6,sashimi,6,,,
*nigiri or sashimi,bean curd skin,(inari),5,sashimi,5,,,
*nigiri or sashimi,egg custard,(tamago),5,sashimi,5,,,
*nigiri or sashimi,escolar,(white tuna),7,sashimi,7,,,
*premium rolls,new style salmon ,"Our New Style sashimi taken another step! Scottish salmon drizzled with yuzu-soy, cilantro and minced ginger before being flash seared. Rolled up with cucumber, avocado, and oba leaf with more New Style salmon on top.",16,,,,,
*premium rolls,lion king,"Crab mix, avocodo inside, topped with scottish salmon, baked whole roll",16,,,,,
*premium rolls,cyclone ,"Tempura fried lobster inside, crab mix and avocado on top with eel sauce",15,,,,,
*premium rolls,sweet heart roll,"Spicy tuna and tempura flake, avocado inside, big eye tuna on top with mango sauce",16,,,,,
*premium rolls,rainbow,"California roll topped with avocado, tuna, salmon, and white fish",14,,,,,
*premium rolls,mango,"Spicy tuna roll, shrimp tempura topped with a thin sheet of mango, avocado and mango sauce",14,,,,,
*premium rolls,dragon,Unagi and cucumber with a sheet of avocado on top,15,,,,,
*premium rolls,dynamite,"California roll topped with baked seafood dynamite, eel sauce, green onion and masago",15,,,,,
*premium rolls,spiderman ,"Soft shell crab, spicy tuna, mango, avocado, cucumber wrapped with soy paper, eel and mango sauce",16,,,,,
*premium rolls,fire cracker ,"Tempura Jalapeno inside topped with seared albacore, avocado cilantro, and tataki sauce",16,,,,,
*premium rolls,vegas,"Salmon, avocado , and cream cheese topped with spicy mayo and eel sauce, deep fry whole roll",15,,,,,
*premium rolls,rockies,"Spicy tuna, cucumber, topped with crap and eel",15,,,,,
*premium rolls,sex on the beach,"Shrimp Tempura, spicy salmon inside, topped with seared escolar, avocado and masago",16,,,,,
*premium rolls,mexico city,"Shrimp Tempura, spicy kani, cucumber, jalapeno, avocado on top with spicy mayo and siracha",16,,,,,
*premium rolls,cevichi,"Salmon, tuna, yellowtail, scallop, lemon, soy paper",16,,,,,
*premium rolls,volcano,"Spicy salmon, cream cheese, jalapeno, avocado, no rice, eel sauce and spicy mayo sauce",16,,,,,
*premium rolls,colorado,"Tuna, salmon, yellowtail, jalapeno, avocado, scallop, fresh wasabi",16,,,,,
*premium rolls,Celebration,"Spicy yellowtail, avocado, asparagus, salmon, and scallop on top, bake whole roll",20,,,,,
*premium rolls,naruto,Assorted sashimi cucumber wrap,16,,,,,
*sushi rolls,california (8pc),"cucumber, avocado, crab mix, masago",7,,,,,
*sushi rolls,philadelphia roll (8pc),"cream cheese, smoked salmon, avocado",7,,,,,
*sushi rolls,tuna roll (6pc),,7,,,,,
*sushi rolls,salmon roll (6pc),,7,,,,,
*sushi rolls,yellow w/ scallion roll (6pc),,7,,,,,
*sushi rolls,spicy roll (8pc),Choice of Tuna or Salmon or Yellowtail or Scallop,7,,,,,
*sushi rolls,eel cucumber roll (8pc),,7,,,,,
*sushi rolls,alaska roll (8pc),"fresh salmon, avocado, cucumber",7,,,,,
*sushi rolls,spicy octopus roll (8pc),,8,,,,,
*sushi rolls,shrimp tempura roll (5pc),,8.5,,,,,
*sushi rolls,spider roll (5pc),"Soft shell crab, crab mix, avocado, cucumber, masago, eel sauce",11,,,,,
*sushi rolls,kobe beef roll,"Kobe beef, asparagus, mayo, chili flakes, and lettuce or spring mix",11,,,,,
*sushi rolls,Mr.Krabs roll (8pc),spicy snow crab mix with kani,9,,,,,
